iter	Passed	Remaining
737	1161	412
738	1162	410
739	1164	409
740	1165	407
741	1166	405
742	1167	403
743	1169	402
744	1170	400
745	1171	398
746	1172	397
747	1173	395
748	1174	393
749	1175	391
750	1176	390
751	1178	388
752	1179	387
753	1181	385
754	1182	383
755	1183	381
756	1184	380
757	1185	378
758	1186	376
759	1187	375
760	1188	373
761	1190	371
762	1191	370
763	1192	368
764	1194	366
765	1195	365
766	1196	363
767	1197	361
768	1198	360
769	1199	358
770	1200	356
771	1201	354
772	1203	353
773	1204	351
774	1205	349
775	1206	348
776	1208	346
777	1209	345
778	1210	343
779	1211	341
780	1212	340
781	1213	338
782	1214	336
783	1216	335
784	1217	333
785	1218	331
786	1219	330
787	1220	328
788	1222	326
789	1223	325
790	1225	323
791	1226	322
792	1227	320
793	1229	318
794	1230	317
795	1231	315
796	1232	314
797	1234	312
798	1235	310
799	1236	309
800	1237	307
801	1239	306
802	1241	304
803	1242	302
804	1243	301
805	1245	299
806	1246	298
807	1247	296
808	1248	294
809	1249	293
810	1250	291
811	1251	289
812	1253	288
813	1255	286
814	1256	285
815	1257	283
816	1259	282
817	1260	280
818	1261	278
819	1262	277
820	1263	275
821	1264	273
822	1266	272
823	1267	270
824	1269	269
825	1271	267
826	1272	266
827	1273	264
828	1274	262
829	1275	261
830	1276	259
831	1278	258
832	1279	256
833	1280	254
834	1281	253
835	1282	251
836	1284	250
837	1286	248
838	1287	247
839	1288	245
840	1290	243
841	1291	242
842	1292	240
843	1293	239
844	1294	237
845	1295	235
846	1297	234
847	1298	232
848	1300	231
849	1302	229
850	1303	228
851	1307	227
852	1309	225
853	1310	223
854	1311	222
855	1312	220
856	1314	219
857	1316	217
858	1317	216
859	1318	214
860	1319	213
861	1321	211
862	1322	210
863	1324	208
864	1325	206
865	1326	205
866	1328	203
867	1329	202
868	1331	200
869	1332	199
870	1333	197
871	1335	195
872	1336	194
873	1337	192
874	1338	191
875	1340	189
876	1341	188
877	1342	186
878	1345	185
879	1346	183
880	1348	182
881	1349	180
882	1350	178
883	1351	177
884	1352	175
885	1353	174
886	1354	172
887	1356	171
888	1357	169
889	1359	168
890	1361	166
891	1362	164
892	1363	163
893	1365	161
894	1366	160
895	1367	158
896	1368	157
897	1370	155
898	1371	154
899	1372	152
900	1373	150
901	1375	149
902	1376	147
903	1378	146
904	1379	144
905	1380	143
906	1382	141
907	1383	140
908	1384	138
909	1386	137
910	1387	135
911	1389	134
912	1390	132
913	1391	130
914	1392	129
915	1393	127
916	1394	126
917	1396	124
918	1397	123
919	1398	121
920	1400	120
921	1402	118
922	1403	117
923	1404	115
924	1405	113
925	1406	112
926	1407	110
927	1409	109
928	1410	107
929	1411	106
930	1412	104
931	1414	103
932	1416	101
933	1417	100
934	1418	98
935	1419	97
936	1421	95
937	1422	94
938	1423	92
939	1425	90
940	1426	89
941	1428	87
942	1430	86
943	1432	84
944	1433	83
945	1434	81
946	1436	80
947	1437	78
948	1438	77
949	1439	75
950	1441	74
951	1442	72
952	1444	71
953	1446	69
954	1447	68
955	1448	66
956	1449	65
957	1450	63
958	1451	62
959	1453	60
960	1454	59
961	1455	57
962	1456	55
963	1458	54
964	1460	52
965	1461	51
966	1463	49
967	1464	48
968	1465	46
969	1466	45
970	1468	43
971	1469	42
972	1470	40
973	1471	39
974	1473	37
975	1475	36
976	1477	34
977	1478	33
978	1480	31
979	1481	30
980	1482	28
981	1483	27
982	1485	25
983	1486	24
984	1488	22
985	1490	21
986	1492	19
987	1493	18
988	1494	16
989	1495	15
990	1496	13
991	1498	12
992	1499	10
993	1500	9
994	1502	7
995	1503	6
996	1505	4
997	1507	3
998	1508	1
999	1509	0
